Link,Name,Teams,Prize,Type,Location,Start Date,End Date
https://www.hltv.org/events/8403/fragadelphia-block-2025,Fragadelphia Block 2025,16+,10000,16+,Mar 1st - Mar 2,01.03.2025,02.03.2025
https://www.hltv.org/events/8405/urban-contenders-season-4,Urban Contenders Season 4,2+,2500,2+,Mar 1,01.03.2025,01.03.2025
https://www.hltv.org/events/8058/skyesports-souvenir-national-championship-2025,Skyesports Souvenir National Championship 2025,4,5760,4,Feb 27th - Mar 1,27.02.2025,01.03.2025
https://www.hltv.org/events/8397/cct-season-2-europe-series-20-closed-qualifier,CCT Season 2 Europe Series 20 Closed Qualifier,16,CCT S2 EU Series 20 spots,16,Feb 24th - Mar 1,24.02.2025,01.03.2025
https://www.hltv.org/events/8394/united21-league-season-27,United21 League Season 27,8+,10000,8+,Feb 22nd - Mar 1,22.02.2025,01.03.2025
https://www.hltv.org/events/8402/liga-gamers-club-2025-serie-a-february-cup,Liga Gamers Club 2025 Serie A February Cup,4+,2000,4+,Feb 27th - Feb 28,27.02.2025,28.02.2025
https://www.hltv.org/events/8383/mesa-asian-masters-2025-china-closed-qualifier,MESA Asian Masters 2025 China Closed Qualifier,8,MESA Asian Masters spots,8,Feb 24th - Feb 27,24.02.2025,27.02.2025
https://www.hltv.org/events/8380/mesa-asian-masters-2025-asia-closed-qualifier,MESA Asian Masters 2025 Asia Closed Qualifier,8,MESA Asian Masters spots,8,Feb 24th - Feb 27,24.02.2025,27.02.2025
https://www.hltv.org/events/8382/mesa-asian-masters-2025-mena-closed-qualifier,MESA Asian Masters 2025 MENA Closed Qualifier,4,MESA Asian Masters spot,4,Feb 24th - Feb 26,24.02.2025,26.02.2025
https://www.hltv.org/events/8381/mesa-asian-masters-2025-oceania-closed-qualifier,MESA Asian Masters 2025 Oceania Closed Qualifier,8,MESA Asian Masters spots,8,Feb 24th - Feb 26,24.02.2025,26.02.2025
https://www.hltv.org/events/8392/european-pro-league-2nd-division-season-20,European Pro League 2nd Division Season 20,8+,10000,8+,Feb 19th - Feb 26,19.02.2025,26.02.2025
https://www.hltv.org/events/8387/cct-season-2-europe-series-19-closed-qualifier,CCT Season 2 Europe Series 19 Closed Qualifier,16,CCT S2 EU Series 19 spots,16,Feb 19th - Feb 24,19.02.2025,24.02.2025
https://www.hltv.org/events/8396/dust2-india-1xbet-masters-19,Dust2 India 1xBet Masters 19,4,1500,4,Feb 23,23.02.2025,23.02.2025
https://www.hltv.org/events/8395/intel-epic44,Intel epic44,4+,5053,4+,Feb 22nd - Feb 23,22.02.2025,23.02.2025
https://www.hltv.org/events/8370/pgl-bucharest-2025-europe-open-qualifier-4,PGL Bucharest 2025 Europe Open Qualifier 4,16+,Closed Qualifier spots,16+,Feb 22nd - Feb 23,22.02.2025,23.02.2025
https://www.hltv.org/events/8043/pgl-cluj-napoca-2025,PGL Cluj-Napoca 2025,16,1250000,16,Feb 14th - Feb 23,14.02.2025,23.02.2025
https://www.hltv.org/events/8345/cct-season-2-europe-series-18,CCT Season 2 Europe Series 18,24,50000,24,Feb 10th - Feb 23,10.02.2025,23.02.2025
https://www.hltv.org/events/8357/elisa-open-finland-season-8-finals,Elisa Open Finland Season 8 Finals,4,5162,4,Feb 21st - Feb 22,21.02.2025,22.02.2025
https://www.hltv.org/events/8354/cct-season-2-south-america-series-7,CCT Season 2 South America Series 7,24,20000,24,Feb 9th - Feb 22,09.02.2025,22.02.2025
https://www.hltv.org/events/8369/pgl-bucharest-2025-europe-open-qualifier-3,PGL Bucharest 2025 Europe Open Qualifier 3,16+,Closed Qualifier spots,16+,Feb 20th - Feb 21,20.02.2025,21.02.2025
https://www.hltv.org/events/8273/iem-dallas-2025-europe-closed-qualifier,IEM Dallas 2025 Europe Closed Qualifier,16,IEM Dallas spots,16,Feb 10th - Feb 20,10.02.2025,20.02.2025
https://www.hltv.org/events/8350/epl-world-series-oceania-season-1,EPL World Series Oceania Season 1,8,5000,8,Feb 6th - Feb 20,06.02.2025,20.02.2025
https://www.hltv.org/events/8368/pgl-bucharest-2025-europe-open-qualifier-2,PGL Bucharest 2025 Europe Open Qualifier 2,16+,Closed Qualifier spots,16+,Feb 16th - Feb 17,16.02.2025,17.02.2025
https://www.hltv.org/events/8390/cyberx-celebration-championship-2025,CyberX Celebration Championship 2025,2+,1960,2+,Feb 16,16.02.2025,16.02.2025
https://www.hltv.org/events/8389/nitro-fresh-masters-2025,Nitro Fresh Masters 2025,2+,2743,2+,Feb 16,16.02.2025,16.02.2025
https://www.hltv.org/events/8351/dfrag-invitational-2025-closed-qualifier,DFRAG Invitational 2025 Closed Qualifier,8,Main event spots,8,Feb 15th - Feb 16,15.02.2025,16.02.2025
https://www.hltv.org/events/8367/pgl-bucharest-2025-europe-open-qualifier-1,PGL Bucharest 2025 Europe Open Qualifier 1,16+,Closed Qualifier spots,16+,Feb 14th - Feb 15,14.02.2025,15.02.2025
https://www.hltv.org/events/8313/cct-season-2-europe-series-17,CCT Season 2 Europe Series 17,24,50000,24,Feb 1st - Feb 15,01.02.2025,15.02.2025
https://www.hltv.org/events/8361/ace-north-american-masters-spring-2025-blast-premier-rising-event,ACE North American Masters Spring 2025 - BLAST Premier Rising Event,8,BLAST Open spot,8,Feb 13th - Feb 14,13.02.2025,14.02.2025
