Date,Unique Countries
2015/october/5,2
2015/october/12,1
2015/october/19,1
2015/october/26,2
2015/november/3,2
2015/november/9,2
2015/november/16,3
2015/november/24,1
2015/december/1,1
2015/december/8,2
2015/december/14,2
2015/december/21,2
2015/december/28,2
2016/january/5,2
2016/january/11,2
2016/january/18,3
2016/january/25,4
2016/february/1,3
2016/february/9,2
2016/february/15,2
2016/february/22,17
2016/march/1,18
2016/march/7,16
2016/march/14,20
2016/march/21,20
2016/march/28,23
2016/april/5,23
2016/april/11,23
2016/april/18,22
2016/april/25,20
2016/may/2,21
2016/may/9,20
2016/may/17,20
2016/may/23,18
2016/june/1,19
2016/june/6,18
2016/june/13,18
2016/june/21,17
2016/june/27,18
2016/july/4,19
2016/july/11,18
2016/july/19,20
2016/july/26,19
2016/august/1,19
2016/august/8,19
2016/august/15,21
2016/august/22,21
2016/august/29,21
2016/september/5,23
2016/september/12,21
2016/september/19,22
2016/september/26,27
2016/october/3,31
2016/october/10,34
2016/october/17,35
2016/october/24,36
2016/november/1,38
2016/november/7,40
2016/november/14,40
2016/november/21,37
2016/november/28,38
2016/december/5,36
2016/december/12,34
2016/december/19,36
2016/december/26,36
2017/january/2,32
2017/january/9,28
2017/january/16,24
2017/january/23,19
2017/january/30,17
2017/february/6,15
2017/february/13,14
2017/february/20,13
2017/february/27,17
2017/march/6,17
2017/march/13,20
2017/march/20,22
2017/march/27,20
2017/april/3,21
2017/april/10,24
2017/april/17,28
2017/april/24,33
2017/may/1,34
2017/may/8,35
2017/may/15,37
2017/may/22,38
2017/may/29,37
2017/june/5,37
2017/june/12,35
2017/june/19,33
2017/june/26,31
2017/july/3,32
2017/july/10,31
2017/july/17,35
2017/july/24,37
2017/july/31,36
2017/august/7,37
2017/august/14,41
2017/august/21,39
2017/august/28,42
2017/september/4,43
2017/september/11,43
2017/september/18,44
2017/september/25,46
2017/october/2,43
2017/october/9,40
2017/october/16,39
2017/october/23,34
2017/october/30,37
2017/november/6,35
2017/november/13,38
2017/november/20,37
2017/november/27,37
2017/december/4,37
2017/december/11,40
2017/december/18,40
2017/december/25,40
2018/january/1,41
2018/january/8,39
2018/january/16,37
2018/january/23,35
2018/january/29,33
2018/february/5,34
2018/february/12,32
2018/february/19,31
2018/february/26,31
2018/march/5,32
2018/march/12,28
2018/march/19,30
2018/march/26,31
2018/april/2,29
2018/april/9,28
2018/april/16,28
2018/april/23,25
2018/april/30,25
2018/may/7,24
2018/may/14,23
2018/may/21,26
2018/may/28,26
2018/june/4,27
2018/june/11,28
2018/june/18,30
2018/june/25,30
2018/july/2,30
2018/july/9,30
2018/july/16,28
2018/july/23,25
2018/july/30,28
2018/august/6,26
2018/august/13,24
2018/august/20,26
2018/august/27,28
2018/september/3,31
2018/september/10,33
2018/september/17,33
2018/september/24,35
2018/october/1,37
2018/october/8,36
2018/october/15,36
2018/october/22,37
2018/october/29,33
2018/november/5,35
2018/november/12,34
2018/november/19,34
2018/november/26,31
2018/december/3,31
2018/december/10,32
2018/december/17,31
2018/december/24,30
2018/december/31,29
2019/january/7,26
2019/january/14,23
2019/january/21,22
2019/january/28,21
2019/february/4,19
2019/february/11,21
2019/february/18,21
2019/february/25,22
2019/march/4,22
2019/march/11,24
2019/march/18,23
2019/march/25,22
2019/april/1,24
2019/april/8,25
2019/april/15,25
2019/april/22,28
2019/april/29,27
2019/may/6,28
2019/may/13,28
2019/may/20,26
2019/may/27,24
2019/june/3,24
2019/june/10,28
2019/june/17,28
2019/june/24,30
2019/july/1,30
2019/july/8,29
2019/july/15,31
2019/july/22,32
2019/july/29,29
2019/august/5,28
2019/august/12,27
2019/august/19,26
2019/august/26,25
2019/september/2,26
2019/september/9,31
2019/september/16,35
2019/september/23,35
2019/september/30,36
2019/october/7,38
2019/october/14,41
2019/october/21,40
2019/october/28,38
2019/november/4,35
2019/november/11,31
2019/november/18,29
2019/november/25,32
2019/december/2,31
2019/december/9,32
2019/december/16,32
2019/december/23,32
2019/december/30,30
2020/january/6,30
2020/january/13,28
2020/january/20,29
2020/january/27,29
2020/february/3,26
2020/february/10,29
2020/february/17,29
2020/february/24,31
2020/march/2,28
2020/march/9,26
2020/march/16,25
2020/march/23,25
2020/march/30,23
2020/april/6,21
2020/april/13,21
2020/april/20,21
2020/april/27,20
2020/may/4,17
2020/may/11,20
2020/may/18,21
2020/may/25,20
2020/june/1,20
2020/june/8,21
2020/june/15,21
2020/june/22,20
2020/june/29,20
2020/july/6,17
2020/july/13,17
2020/july/20,19
2020/july/27,20
2020/august/3,20
2020/august/10,21
2020/august/17,20
2020/august/24,20
2020/august/31,18
2020/september/7,19
2020/september/14,20
2020/september/21,19
2020/september/28,19
2020/october/5,21
2020/october/12,19
2020/october/19,20
2020/october/26,21
2020/november/2,21
2020/november/9,20
2020/november/16,22
2020/november/23,21
2020/november/30,19
2020/december/7,20
2020/december/14,20
2020/december/21,20
2020/december/28,19
2021/january/4,16
2021/january/11,16
2021/january/18,16
2021/january/25,16
2021/february/1,14
2021/february/8,13
2021/february/15,13
2021/february/22,14
