Date,Total Match Count
Results for June 18th 2009,1
Results for June 17th 2009,2
Results for June 16th 2009,2
Results for June 15th 2009,14
Results for June 14th 2009,25
Results for June 13th 2009,8
Results for June 12th 2009,1
Results for June 11th 2009,5
Results for June 10th 2009,7
Results for June 9th 2009,12
Results for June 8th 2009,4
Results for June 7th 2009,1
Results for June 5th 2009,3
Results for June 3rd 2009,6
Results for June 2nd 2009,1
Results for May 31st 2009,2
Results for May 30th 2009,1
Results for May 29th 2009,1
Results for May 28th 2009,14
Results for May 27th 2009,1
Results for May 26th 2009,8
Results for May 25th 2009,10
Results for May 24th 2009,2
Results for May 23rd 2009,1
Results for May 22nd 2009,1
Results for May 21st 2009,4
Results for May 20th 2009,9
Results for May 19th 2009,10
Results for May 18th 2009,4
Results for May 17th 2009,6
Results for May 16th 2009,34
Results for May 14th 2009,6
Results for May 13th 2009,11
Results for May 12th 2009,6
Results for May 10th 2009,4
Results for May 9th 2009,12
Results for May 7th 2009,7
Results for May 5th 2009,4
Results for May 4th 2009,30
Results for May 3rd 2009,2
Results for April 30th 2009,6
Results for April 29th 2009,12
Results for April 28th 2009,14
Results for April 27th 2009,7
Results for April 24th 2009,3
Results for April 23rd 2009,9
Results for April 22nd 2009,11
Results for April 21st 2009,11
Results for April 20th 2009,11
Results for April 19th 2009,5
Results for April 18th 2009,7
Results for April 16th 2009,10
Results for April 15th 2009,11
Results for April 14th 2009,16
Results for April 13th 2009,7
Results for April 12th 2009,3
Results for April 11th 2009,15
Results for April 10th 2009,1
Results for April 9th 2009,7
Results for April 8th 2009,3
Results for April 7th 2009,5
Results for April 6th 2009,6
Results for April 5th 2009,56
Results for April 4th 2009,38
Results for April 3rd 2009,2
Results for April 2nd 2009,3
Results for April 1st 2009,9
Results for March 31st 2009,6
Results for March 30th 2009,7
Results for March 29th 2009,13
Results for March 28th 2009,10
Results for March 26th 2009,3
Results for March 25th 2009,4
Results for March 24th 2009,2
Results for March 23rd 2009,2
Results for March 22nd 2009,1
Results for March 21st 2009,1
Results for March 20th 2009,1
Results for March 19th 2009,4
Results for March 18th 2009,4
Results for March 17th 2009,3
Results for March 16th 2009,4
Results for March 15th 2009,36
Results for March 14th 2009,49
Results for March 12th 2009,1
Results for March 11th 2009,4
Results for March 10th 2009,1
Results for March 9th 2009,4
Results for March 8th 2009,2
Results for March 7th 2009,5
Results for March 6th 2009,29
Results for March 5th 2009,5
Results for March 4th 2009,4
Results for March 3rd 2009,28
Results for March 1st 2009,10
Results for February 28th 2009,22
Results for February 26th 2009,2
Results for February 25th 2009,5
Results for February 23rd 2009,2
Results for February 22nd 2009,4
Results for February 19th 2009,3
Results for February 18th 2009,5
Results for February 17th 2009,3
Results for February 16th 2009,3
Results for February 15th 2009,34
Results for February 14th 2009,11
Results for February 13th 2009,2
Results for February 12th 2009,3
Results for February 11th 2009,3
Results for February 10th 2009,3
Results for February 9th 2009,3
Results for February 8th 2009,37
Results for February 7th 2009,1
Results for February 5th 2009,2
Results for February 4th 2009,1
Results for February 3rd 2009,2
Results for February 2nd 2009,8
Results for February 1st 2009,44
Results for January 29th 2009,2
Results for January 28th 2009,4
Results for January 27th 2009,2
Results for January 26th 2009,3
Results for January 25th 2009,7
Results for January 24th 2009,18
Results for January 22nd 2009,3
Results for January 20th 2009,3
Results for January 19th 2009,3
Results for January 18th 2009,3
Results for January 17th 2009,3
Results for January 16th 2009,27
Results for January 15th 2009,6
Results for January 14th 2009,4
Results for January 13th 2009,4
Results for January 12th 2009,24
Results for January 11th 2009,35
Results for January 10th 2009,30
Results for January 8th 2009,3
Results for January 7th 2009,1
Results for December 22nd 2008,1
Results for December 18th 2008,5
Results for December 17th 2008,2
Results for December 15th 2008,1
Results for December 14th 2008,23
Results for December 11th 2008,7
Results for December 10th 2008,2
Results for December 9th 2008,3
Results for December 8th 2008,3
Results for December 7th 2008,2
Results for December 6th 2008,1
Results for December 4th 2008,4
Results for December 2nd 2008,4
Results for December 1st 2008,6
Results for November 30th 2008,1
Results for November 29th 2008,12
Results for November 28th 2008,21
Results for November 26th 2008,10
Results for November 25th 2008,1
Results for November 24th 2008,2
Results for November 23rd 2008,2
Results for November 22nd 2008,4
Results for November 21st 2008,5
Results for November 20th 2008,8
Results for November 19th 2008,8
Results for November 18th 2008,7
Results for November 17th 2008,4
Results for November 16th 2008,10
Results for November 15th 2008,3
Results for November 14th 2008,1
Results for November 13th 2008,3
Results for November 12th 2008,6
Results for November 11th 2008,2
Results for November 10th 2008,6
Results for November 9th 2008,1
Results for November 8th 2008,14
Results for November 7th 2008,69
Results for November 6th 2008,34
Results for November 4th 2008,3
Results for November 3rd 2008,4
Results for November 2nd 2008,4
Results for November 1st 2008,1
Results for October 31st 2008,1
Results for October 30th 2008,9
Results for October 29th 2008,7
Results for October 28th 2008,11
Results for October 27th 2008,9
Results for October 26th 2008,4
Results for October 25th 2008,1
Results for October 24th 2008,4
Results for October 23rd 2008,10
Results for October 22nd 2008,23
Results for October 21st 2008,4
Results for October 19th 2008,10
